,treatment,estimate,stderr,lower,upper,rmse y,accuracy y,rmse D,accuracy D,rmse final,n,rmse D1,rmse D2,learner_y,learner_d
15,OPP_treated,0.01435561155509147,0.0025432658268910273,0.009370810534385057,0.019340412575797883,0.2478775378554486,0.9072924483252609,0.46801798000785716,0.6616413125042636,0.24770884729645798,43977,0.15630702870399935,0.46801798000785716,RF,Tree
18,CVE_treated,0.03767278486363397,0.00755489987745939,0.022865181103813567,0.052480388623454374,0.2478785459261314,0.9072924483252609,0.1576076108163198,0.9749414466653024,0.24776060144336384,43977,0.1576076108163198,0.4657276500247892,RF,MLP
19,OPP_treated,0.012044232145691653,0.0025568632406247943,0.0070327801940670565,0.01705568409731625,0.2478785459261314,0.9072924483252609,0.4657276500247892,0.6592991791163563,0.24776060144336384,43977,0.1576076108163198,0.4657276500247892,RF,MLP
42,CVE_treated,0.03599977694572624,0.007669325105551067,0.020967899738846146,0.051031654152606326,0.24964576872205851,0.9121358892148168,0.15630762873918347,0.9749414466653024,0.2495330886621099,43977,0.15630762873918347,0.4687275618733034,MLP,RF
43,OPP_treated,0.01049834288156214,0.002557507041011954,0.00548562908117871,0.01551105668194557,0.24964576872205851,0.9121358892148168,0.4687275618733034,0.6535916501807764,0.2495330886621099,43977,0.15630762873918347,0.4687275618733034,MLP,RF
46,CVE_treated,0.038251814905363286,0.0076887214078366455,0.02318192094600346,0.05332170886472311,0.24987375137035514,0.911885758464652,0.15615963002235955,0.9749187075061965,0.24972281395132953,43977,0.15615963002235955,0.46150419905718243,MLP,GBF
47,OPP_treated,0.01072817160785753,0.0026016403352394357,0.005628956550788236,0.015827386664926824,0.24987375137035514,0.911885758464652,0.46150419905718243,0.6618914432544285,0.24972281395132953,43977,0.15615963002235955,0.46150419905718243,MLP,GBF
40,CVE_treated,0.04124259085223077,0.007696633512886021,0.026157189166974168,0.05632799253748737,0.24994584791046404,0.9121358892148168,0.30375998454712716,0.9749414466653024,0.2498021613780613,43977,0.30375998454712716,0.46243773048623077,MLP,Logit
41,OPP_treated,0.01365501445251774,0.0025977583980328657,0.008563407992373324,0.018746620912662156,0.24994584791046404,0.9121358892148168,0.46243773048623077,0.6610046160492985,0.2498021613780613,43977,0.30375998454712716,0.46243773048623077,MLP,Logit
44,CVE_treated,0.03999110058456616,0.007682264571757776,0.024933862023920922,0.0550483391452114,0.25008346450690017,0.9115446710780636,0.15630702870399935,0.9749414466653024,0.24989351857516734,43977,0.15630702870399935,0.46801798000785716,MLP,Tree
45,OPP_treated,0.01116132120578553,0.0025656961916792585,0.006132556670094182,0.016190085741476876,0.25008346450690017,0.9115446710780636,0.46801798000785716,0.6616413125042636,0.24989351857516734,43977,0.15630702870399935,0.46801798000785716,MLP,Tree
48,CVE_treated,0.04116692376550464,0.007654734998497559,0.026163643168449425,0.05617020436255986,0.2516644869071424,0.910998931259522,0.15795686230192607,0.9749414466653024,0.2515119667491366,43977,0.15795686230192607,0.46559277305430535,MLP,MLP
49,OPP_treated,0.00946238134969523,0.002597231779269452,0.004371807062327104,0.014552955637063356,0.2516644869071424,0.910998931259522,0.46559277305430535,0.660231484639698,0.2515119667491366,43977,0.15795686230192607,0.46559277305430535,MLP,MLP
