treatment,estimate,stderr,lower,upper,rmse y,accuracy y,rmse D,accuracy D,rmse final,n,rmse D1,rmse D2,learner_y,learner_d
CVE_treated,0.11749989121920787,0.009932967151490548,0.09803127560228639,0.13696850683612935,0.3593398864668182,0.8000318348227482,0.1736721770901161,0.968870091184028,0.35821987602631444,43977,0.1736721770901161,0.47161367872975285,MLP,RF
OPP_treated,0.04810139588753166,0.0036578244598423795,0.04093205994624059,0.05527073182882272,0.3593398864668182,0.8000318348227482,0.47161367872975285,0.6439957250380881,0.35821987602631444,43977,0.1736721770901161,0.47161367872975285,MLP,RF
CVE_treated,0.11954813099964223,0.009975523182458767,0.09999610556202305,0.13910015643726142,0.359758998842547,0.7995770516406303,0.31006606033068485,0.968870091184028,0.3586461763328442,43977,0.31006606033068485,0.46560392715919485,MLP,Logit
OPP_treated,0.04840443249267858,0.0037145154108808635,0.04112398228735209,0.055684882698005075,0.359758998842547,0.7995770516406303,0.46560392715919485,0.6528412579302817,0.3586461763328442,43977,0.31006606033068485,0.46560392715919485,MLP,Logit
CVE_treated,0.11824650558220479,0.009957100695421025,0.09873058821917957,0.13776242294523,0.36011848134165103,0.8008959228687723,0.17367264291766235,0.968870091184028,0.3589584656042586,43977,0.17367264291766235,0.4706499009590148,MLP,Tree
OPP_treated,0.04957899319045128,0.003674230019562876,0.04237750235210804,0.05678048402879452,0.36011848134165103,0.8008959228687723,0.4706499009590148,0.652340996429952,0.3589584656042586,43977,0.17367264291766235,0.4706499009590148,MLP,Tree
CVE_treated,0.12534126283788075,0.0099881524402302,0.10576448405502956,0.14491804162073194,0.36032628524162574,0.7921868249312141,0.17334589715566626,0.968870091184028,0.359100520862683,43977,0.17334589715566626,0.46399418815746035,Tree,GBF
OPP_treated,0.05107302928585408,0.0037315236529179923,0.04375924292613482,0.058386815645573346,0.36032628524162574,0.7921868249312141,0.46399418815746035,0.6549105214089183,0.359100520862683,43977,0.17334589715566626,0.46399418815746035,Tree,GBF
CVE_treated,0.12601103506891212,0.009957668699269605,0.1064940044183437,0.14552806571948054,0.36032628524162574,0.7921868249312141,0.17367264291766235,0.968870091184028,0.35897894242740025,43977,0.17367264291766235,0.4706499009590148,Tree,Tree
OPP_treated,0.05409532108943579,0.0036744396163978913,0.04689341944129592,0.06129722273757565,0.36032628524162574,0.7921868249312141,0.4706499009590148,0.652340996429952,0.35897894242740025,43977,0.17367264291766235,0.4706499009590148,Tree,Tree
CVE_treated,0.1250552290712387,0.009955399810644505,0.10554264544237547,0.14456781270010194,0.36032628524162574,0.7921868249312141,0.17367292492846928,0.968870091184028,0.3590286509784071,43977,0.17367292492846928,0.4715322611891245,Tree,RF
OPP_treated,0.05243393857837666,0.0036667342152051402,0.04524713951657458,0.059620737640178736,0.36032628524162574,0.7921868249312141,0.4715322611891245,0.6439957250380881,0.3590286509784071,43977,0.17367292492846928,0.4715322611891245,Tree,RF
CVE_treated,0.11674675853621717,0.009914330410297144,0.09731467093203477,0.13617884614039957,0.36032628524162574,0.7921868249312141,0.1747179518246048,0.968870091184028,0.3592997694441688,43977,0.1747179518246048,0.46858475698590263,Tree,MLP
OPP_treated,0.045235264781639126,0.0036966575964198886,0.03798981589265615,0.052480713670622105,0.36032628524162574,0.7921868249312141,0.46858475698590263,0.650158037155786,0.3592997694441688,43977,0.1747179518246048,0.46858475698590263,Tree,MLP
CVE_treated,0.12250831518979578,0.009991159376646623,0.10292564281156841,0.14209098756802316,0.36032628524162574,0.7921868249312141,0.31006606033068485,0.968870091184028,0.3592083384525948,43977,0.31006606033068485,0.46560392715919485,Tree,Logit
OPP_treated,0.0477052398278735,0.003720337750543253,0.04041337783680873,0.05499710181893828,0.36032628524162574,0.7921868249312141,0.46560392715919485,0.6528412579302817,0.3592083384525948,43977,0.31006606033068485,0.46560392715919485,Tree,Logit
